ds,yhat,yhat_lower,yhat_upper
2025-09-17,690126000.5364568,-2130292285.9339786,3497567592.0804567
2025-09-18,718172405.9884652,-1931185153.1036072,3541077902.381403
2025-09-19,459156342.0254332,-2428568055.3848367,3306817975.794455
2025-09-20,578203972.6251347,-2172173425.4503374,3283943225.354859
2025-09-21,537511399.481766,-2323294262.5467544,3191591576.0410204
2025-09-22,544630657.7237947,-2085879752.8099246,3580486658.626582
2025-09-23,549742784.5622017,-2190154020.4498158,3344824773.3486576
2025-09-24,536943493.6750454,-2244607592.60005,3198664866.0434413
2025-09-25,548153396.2810259,-2049851005.3078673,3117144340.0852065
2025-09-26,352418171.6226946,-2464351506.90236,3350941161.221125
2025-09-27,428167418.6016401,-2221147465.375017,3168591222.251045
2025-09-28,389722983.3766512,-2280651839.0540156,3339290771.7602024
2025-09-29,383892293.47950655,-2308498064.290893,3134850356.87729
2025-09-30,375607105.73894846,-2471864553.08686,3128207068.893201
2025-10-01,354646123.69978946,-2568951201.461511,3123932083.9628034
2025-10-02,348132810.37720937,-2359153712.2927723,3155236273.6006694
2025-10-03,215184391.0073434,-2675612155.2937417,3020350378.979484
2025-10-04,247684797.81418028,-2437050494.5547557,3240759915.6150713
2025-10-05,212220855.8744455,-2534613063.5997057,2983979668.0269985
2025-10-06,194975356.9110854,-2850029277.6634316,2857024944.393795
2025-10-07,175724325.04651782,-2767291931.724185,2983887914.966627
2025-10-08,149990158.13346088,-2668259695.805226,2791306138.6900864
2025-10-09,130121642.2210229,-2749615289.1059504,3102884265.9144707
2025-10-10,65287683.25601401,-2680016870.84856,2900873117.6659536
2025-10-11,60761746.216591254,-2671407651.344017,2984743696.446299
2025-10-12,35284974.1394242,-2778277392.801414,2624377148.04971
2025-10-13,14259862.887613175,-2683299538.8796988,2784677815.2611384
2025-10-14,-7891257.049857901,-2850686292.4209075,2702777419.803395
2025-10-15,-30138035.615057833,-2693105425.9917436,2658741541.7702227
2025-10-16,-55173628.780233525,-2944942062.765267,2743161112.215639
